"title","summary","characters","location"
"Homer's Dabba Doo","Homer sings and yells excitedly, seemingly lost in his own world.","Homer Simpson","Springfield Nuclear Power Plant"
"Waste Disposal","Lenny and Carl discuss how nuclear waste is disposed of, while Mr. Burns decides on a new plan to dump it in Springfield Park.","Lenny Leonard, Carl Carlson, Waylon Smithers, C. Montgomery Burns","Springfield Park"
"Burns' Eco Scandal","Agent Malone exposes Burns' environmental cover-up.","Waylon Smithers, C. Montgomery Burns, Agent Malone","Springfield Park"
"Burns Fined $3 Million","Judge Snyder fines Mr. Burns three million dollars for contempt of human life.","Judge Snyder, C. Montgomery Burns, Smithers","Springfield County Courthouse"
"Town Hall Meeting","Homer attends a town hall meeting at Springfield Town Hall.","Homer","Springfield Town Hall"
"Homer's Anthem","Homer sings an anthem for a wicked witch, likely to annoy Marge.","Homer Simpson","Springfield Town Hall"
"Family Gathering","Marge comments on the large crowd at the Simpsons' station wagon. The scene describes the people gathered around it.","Marge Simpson","SIMPSON STATION WAGON"
"Marge Calls Out Homer","Marge scolds Homer for unknown misbehavior.","Homer Simpson, Marge Simpson","Springfield Street"
"Snake's Rant","Snake Jailbird expresses his frustration with Springfield's stupidity.","Snake Jailbird","Springfield Street"
"Monorail Pitch","Lyle Lanley pitches his monorail idea to the town, which quickly gains popularity.","Homer Simpson, Mayor Joe Quimby, Apu Nahasapeemapetilon, Lisa Simpson, Maude Flanders, C. Montgomery Burns, Waylon Smithers, Chief Wiggum, Marge Simpson, Grampa Simpson, Lyle Lanley","Springfield Town Hall"
"Bart and the Monorail","Bart Simpson excitedly talks about monorails.","Bart Simpson","INT. SIMPSON CAR"
"Dating Service","Establishing shot of the dating service.","None","Dating Service"
"Disagreement Over Funds","Marge and Homer disagree over spending money on Main Street, with Marge feeling they should have fixed it.","Marge Simpson, Homer Simpson","Miss Hoover's Classroom"
"Monorail Presentation","Mr. Lanley presents his monorail proposal to Springfield Elementary, answering questions from students.","Miss Hoover, Mr. Lanley, Ralph Wiggum, Chuck, Lisa Simpson","Springfield Elementary"
"Homer's Monorail Dream","Homer becomes interested in becoming a monorail conductor and wants Marge to support him.","Homer Simpson, Marge Simpson, Lanley","Simpson Home, INT. SIMPSON HOUSE - LIVING ROOM"
"Investigative Reporters","The Monorail Conductor dismisses investigative reporters from the event.","Lanley, Reporter","Monorail Conductor Class"
"Homer's New Job","Bart learns about his father's new job as monorail conductor and considers following in his footsteps.","Homer Simpson, Bart Simpson","Simpson Home - dining room"
"Barney's Boozy Complaint","Barney complains about the sound at the Monorail construction site.","Barney Gumble, Homer","Monorail Construction Site"
