id,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,season,title
10,1511.0,10,10,1990-03-25,1990,1,Homer's Night Out
12,1716.0,12,12,1990-04-29,1990,1,Krusty Gets Busted
14,1638.0,1,14,1990-10-11,1990,2,"Bart Gets an ""F"""
17,1457.0,4,17,1990-11-01,1990,2,Two Cars in Every Garage and Three Eyes on Every Fish
19,1366.0,6,19,1990-11-15,1990,2,Dead Putting Society
21,1522.0,8,21,1990-12-06,1990,2,Bart the Daredevil
23,1340.0,10,23,1991-01-10,1991,2,Bart Gets Hit by a Car
26,1329.0,13,26,1991-02-07,1991,2,Homer vs. Lisa and the 8th Commandment
28,1413.0,15,28,1991-02-21,1991,2,"Oh Brother, Where Art Thou?"
30,1243.0,17,30,1991-03-28,1991,2,Old Money
32,1684.0,19,32,1991-04-25,1991,2,Lisa's Substitute
35,1223.0,22,35,1991-07-11,1991,2,Blood Feud
37,1274.0,2,37,1991-09-26,1991,3,Mr. Lisa Goes to Washington
39,1446.0,4,39,1991-10-10,1991,3,Bart the Murderer
41,1262.0,6,41,1991-10-24,1991,3,"Like Father, Like Clown"
44,1194.0,9,44,1991-11-14,1991,3,Saturdays of Thunder
46,1291.0,11,46,1991-12-05,1991,3,Burns Verkaufen der Kraftwerk
48,1365.0,13,48,1992-01-09,1992,3,Radio Bart
51,1272.0,16,51,1992-02-13,1992,3,Bart the Lover
53,1201.0,18,53,1992-02-27,1992,3,Separate Vocations
55,1233.0,20,55,1992-03-26,1992,3,Colonel Homer
58,1160.0,23,58,1992-05-07,1992,3,Bart's Friend Falls in Love
60,1414.0,1,60,1992-09-24,1992,4,Kamp Krusty
65,1293.0,6,65,1992-11-03,1992,4,Itchy & Scratchy: The Movie
69,1350.0,10,69,1992-12-03,1992,4,Lisa's First Word
72,1153.0,13,72,1993-01-21,1993,4,Selma's Choice
7,1638.0,7,7,1990-02-18,1990,1,The Call of the Simpsons
24,1687.0,11,24,1991-01-24,1991,2,"One Fish, Two Fish, Blowfish, Blue Fish"
80,1080.0,21,80,1993-05-06,1993,4,Marge in Chains
82,1416.0,1,82,1993-09-30,1993,5,Homer's Barbershop Quartet
84,1476.0,3,84,1993-10-14,1993,5,Homer Goes to College
87,1132.0,6,87,1993-11-04,1993,5,Marge on the Lam
89,1270.0,8,89,1993-11-18,1993,5,Boy-Scoutz 'n the Hood
92,1202.0,11,92,1994-01-06,1994,5,Homer the Vigilante
93,1123.0,12,93,1994-02-03,1994,5,Bart Gets Famous
95,1187.0,14,95,1994-02-17,1994,5,Lisa vs. Malibu Stacy
98,1116.0,17,98,1994-03-31,1994,5,Bart Gets an Elephant
102,1014.0,21,102,1994-05-12,1994,5,Lady Bouvier's Lover
104,1330.0,1,104,1994-09-04,1994,6,Bart of Darkness
107,1277.0,4,107,1994-10-02,1994,6,Itchy & Scratchy Land
111,1236.0,8,111,1994-11-13,1994,6,Lisa on Ice
114,1100.0,11,114,1994-12-18,1994,6,Fear of Flying
116,1284.0,13,116,1995-01-22,1995,6,And Maggie Makes Three
118,1254.0,15,118,1995-02-12,1995,6,Homie the Clown
120,1006.0,17,120,1995-02-26,1995,6,Homer vs. Patty and Selma
123,1051.0,20,123,1995-04-09,1995,6,Two Dozen and One Greyhounds
125,1084.0,22,125,1995-04-30,1995,6,'Round Springfield
127,1285.0,24,127,1995-05-14,1995,6,Lemon of Troy
130,1172.0,2,130,1995-09-24,1995,7,Radioactive Man
132,1354.0,4,132,1995-10-08,1995,7,Bart Sells His Soul
134,1304.0,6,134,1995-10-29,1995,7,Treehouse of Horror VI
139,1146.0,11,139,1995-12-17,1995,7,Marge Be Not Proud
140,1064.0,12,140,1996-01-07,1996,7,Team Homer
143,954.0,15,143,1996-02-11,1996,7,Bart the Fink
67,1240.0,8,67,1992-11-12,1992,4,New Kid on the Block
149,1393.0,21,149,1996-04-14,1996,7,22 Short Films About Springfield
151,995.0,23,151,1996-05-05,1996,7,Much Apu About Nothing
153,1119.0,25,153,1996-05-19,1996,7,Summer of 4 Ft. 2
157,1079.0,4,157,1996-11-17,1996,8,"Burns, Baby Burns"
160,1005.0,7,160,1996-12-15,1996,8,Lisa's Date with Density
163,1793.0,10,163,1997-01-12,1997,8,The Springfield Files
164,998.0,11,164,1997-01-19,1997,8,The Twisted World of Marge Simpson
167,1079.0,14,167,1997-02-09,1997,8,The Itchy & Scratchy & Poochie Show
168,1666.0,15,168,1997-02-16,1997,8,Homer's Phobia
171,1330.0,18,171,1997-03-16,1997,8,Homer vs. the Eighteenth Amendment
173,913.0,20,173,1997-04-13,1997,8,The Canine Mutiny
175,973.0,22,175,1997-04-27,1997,8,In Marge We Trust
178,967.0,25,178,1997-05-18,1997,8,The Secret War of Lisa Simpson
180,1158.0,2,180,1997-09-28,1997,9,The Principal and the Pauper
184,925.0,6,184,1997-11-09,1997,9,Bart Star
186,978.0,8,186,1997-11-23,1997,9,Lisa the Skeptic
189,1119.0,11,189,1998-01-04,1998,9,"All Singing, All Dancing"
191,1042.0,13,191,1998-02-08,1998,9,The Joy of Sect
196,906.0,18,196,1998-03-22,1998,9,This Little Wiggy
198,949.0,20,198,1998-04-05,1998,9,The Trouble with Trillions
200,1108.0,22,200,1998-04-26,1998,9,Trash of the Titans
203,931.0,25,203,1998-05-17,1998,9,Natural Born Kissers
205,988.0,2,205,1998-09-20,1998,10,The Wizard of Evergreen Terrace
207,1013.0,4,207,1998-10-25,1998,10,Treehouse of Horror IX
212,975.0,9,212,1998-12-20,1998,10,Mayored to the Mob
214,834.0,11,214,1999-01-17,1999,10,Wild Barts Can't Be Broken
219,795.0,16,219,1999-02-28,1999,10,Make Room for Lisa
222,831.0,19,222,1999-04-11,1999,10,Mom and Pop Art
224,789.0,21,224,1999-05-02,1999,10,Monty Can't Buy Me Love
