id,number_in_season,number_in_series,original_air_date,original_air_year,season,title
10,10,10,1990-03-25,1990,1,Homer's Night Out
12,12,12,1990-04-29,1990,1,Krusty Gets Busted
14,1,14,1990-10-11,1990,2,"Bart Gets an ""F"""
17,4,17,1990-11-01,1990,2,Two Cars in Every Garage and Three Eyes on Every Fish
19,6,19,1990-11-15,1990,2,Dead Putting Society
21,8,21,1990-12-06,1990,2,Bart the Daredevil
23,10,23,1991-01-10,1991,2,Bart Gets Hit by a Car
26,13,26,1991-02-07,1991,2,Homer vs. Lisa and the 8th Commandment
28,15,28,1991-02-21,1991,2,"Oh Brother, Where Art Thou?"
30,17,30,1991-03-28,1991,2,Old Money
32,19,32,1991-04-25,1991,2,Lisa's Substitute
35,22,35,1991-07-11,1991,2,Blood Feud
37,2,37,1991-09-26,1991,3,Mr. Lisa Goes to Washington
39,4,39,1991-10-10,1991,3,Bart the Murderer
41,6,41,1991-10-24,1991,3,"Like Father, Like Clown"
44,9,44,1991-11-14,1991,3,Saturdays of Thunder
46,11,46,1991-12-05,1991,3,Burns Verkaufen der Kraftwerk
48,13,48,1992-01-09,1992,3,Radio Bart
51,16,51,1992-02-13,1992,3,Bart the Lover
53,18,53,1992-02-27,1992,3,Separate Vocations
55,20,55,1992-03-26,1992,3,Colonel Homer
58,23,58,1992-05-07,1992,3,Bart's Friend Falls in Love
60,1,60,1992-09-24,1992,4,Kamp Krusty
65,6,65,1992-11-03,1992,4,Itchy & Scratchy: The Movie
69,10,69,1992-12-03,1992,4,Lisa's First Word
72,13,72,1993-01-21,1993,4,Selma's Choice
7,7,7,1990-02-18,1990,1,The Call of the Simpsons
24,11,24,1991-01-24,1991,2,"One Fish, Two Fish, Blowfish, Blue Fish"
80,21,80,1993-05-06,1993,4,Marge in Chains
82,1,82,1993-09-30,1993,5,Homer's Barbershop Quartet
84,3,84,1993-10-14,1993,5,Homer Goes to College
87,6,87,1993-11-04,1993,5,Marge on the Lam
89,8,89,1993-11-18,1993,5,Boy-Scoutz 'n the Hood
